Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
3/16/2015,1158.56,1163.88,1150.34,1154.46,-4.31,-0.37%,152724,425743
3/17/2015,1153.8,1158.66,1143.14,1149.26,-5.2,-0.45%,175288,429738
3/18/2015,1149.26,1174.34,1145.84,1167.32,18.06,1.57%,226758,430337
3/19/2015,1166.7,1177.41,1159.85,1170.65,3.33,0.29%,174618,436331
3/20/2015,1170.67,1187.69,1168.65,1181.94,11.29,0.96%,205681,436679
3/23/2015,1182.12,1191.4,1179.23,1189.08,7.14,0.60%,217876,447773
3/24/2015,1189.26,1194.85,1185.35,1192.88,3.8,0.32%,216779,433767
3/25/2015,1192.93,1199.41,1186.56,1195.12,2.24,0.19%,290306,416312
3/26/2015,1194.65,1219.04,1194.38,1204.54,9.42,0.79%,372090,398579
3/27/2015,1204.42,1205.77,1192.7,1198.54,-6,-0.50%,329519,392653
3/30/2015,1197.97,1199.26,1182.32,1185.99,-12.55,-1.05%,176995,387881
3/31/2015,1185.9,1190.43,1178.45,1183.26,-2.73,-0.23%,125435,387585
4/1/2015,1182.69,1208.35,1180.9,1203.69,20.43,1.73%,160247,387264
4/2/2015,1203.29,1207.05,1195.14,1202.43,-1.26,-0.10%,122682,382278
4/6/2015,1202.64,1223.94,1202.59,1214.61,12.18,1.01%,115079,389950
4/7/2015,1214.66,1215.65,1207.49,1208.86,-5.75,-0.47%,91250,390571
4/8/2015,1208.85,1211.88,1197.58,1202.31,-6.55,-0.54%,122661,391054
4/9/2015,1202.4,1203.05,1192.58,1194.5,-7.81,-0.65%,115894,390946
4/10/2015,1194.56,1210.39,1193.21,1207.57,13.07,1.09%,133490,392635
4/13/2015,1207.64,1209.31,1196.32,1198.65,-8.92,-0.74%,114999,392173
