Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
8/19/2011,2053.01,2102.88,2035.3,2038.22,-34.81,-1.68%,375978,356748
8/22/2011,2084.27,2084.83,2038.14,2044.73,6.51,0.32%,254489,354712
8/23/2011,2059.03,2129.27,2050.19,2129.27,84.54,4.13%,275082,360396
8/24/2011,2121.52,2148.2,2105.31,2145.04,15.77,0.74%,270635,367791
8/25/2011,2141.86,2153.71,2102.5,2108.21,-36.83,-1.72%,308727,373550
8/26/2011,2101.91,2169.41,2082.04,2161.97,53.76,2.55%,344430,375395
8/29/2011,2188.67,2224.5,2187.72,2223.96,61.99,2.87%,198474,375049
8/30/2011,2212.07,2250.1,2202.45,2237.69,13.73,0.62%,255916,372851
8/31/2011,2248.19,2268.07,2222.48,2241.01,3.32,0.15%,287230,371064
9/1/2011,2245.01,2263.94,2217.02,2219.05,-21.96,-0.98%,263348,372718
9/2/2011,2178.11,2189.76,2156.99,2167.83,-51.22,-2.31%,273205,379251
9/6/2011,2116.48,2171.39,2112.84,2167.6,-0.23,-0.01%,343803,392734
9/7/2011,2198.61,2223.8,2193.83,2223.75,56.15,2.59%,256301,399753
9/8/2011,2212.71,2244.51,2206.79,2214.29,-9.46,-0.43%,375052,422181
9/9/2011,2197.72,2206.49,2151.35,2163.66,-50.63,-2.29%,435205,451146
9/12/2011,2145.78,2192.28,2139.58,2191.84,28.18,1.30%,480787,459214
9/13/2011,2197.66,2225.4,2189.83,2220.58,28.74,1.31%,488673,473798
9/14/2011,2233.66,2277.92,2210.63,2252.75,32.17,1.45%,496268,487906
9/15/2011,2273.22,2289.69,2254.47,2286.56,33.81,1.50%,469577,484983
9/16/2011,2284.28,2308.96,2283.43,2306.09,19.53,0.85%,313400,298073
9/19/2011,2277.64,2319.73,2260.24,2308.76,2.67,0.12%,317890,305715
9/20/2011,2318.55,2337.7,2293.06,2295.89,-12.87,-0.56%,325917,309930
9/21/2011,2308.41,2321.22,2257.55,2258.3,-37.59,-1.64%,353570,315271
9/22/2011,2196.63,2219.72,2151.48,2184.59,-73.71,-3.26%,581197,322496
9/23/2011,2165.75,2216.75,2165.62,2206.86,22.27,1.02%,398475,312448
9/26/2011,2216.66,2237.13,2170.14,2234.28,27.42,1.24%,390149,312060
9/27/2011,2270.69,2290.71,2241.75,2253.55,19.27,0.86%,351658,316586
9/28/2011,2266.29,2281.09,2218.77,2220.84,-32.71,-1.45%,325821,313981
9/29/2011,2255.55,2258.96,2160.2,2197.68,-23.16,-1.04%,405360,311430
9/30/2011,2167.24,2185.61,2139.17,2139.18,-58.5,-2.66%,386690,326278
10/3/2011,2128.02,2153.95,2084.3,2085.04,-54.14,-2.53%,453816,321289
10/4/2011,2064.01,2131.31,2042.9,2129.21,44.17,2.12%,537730,322866
10/5/2011,2121.03,2187.56,2106.62,2182.77,53.56,2.52%,402333,313364
10/6/2011,2181.58,2218.3,2169.57,2217.99,35.22,1.61%,386551,311797
10/7/2011,2217.51,2227.38,2190.26,2202.76,-15.23,-0.69%,354183,298102
10/10/2011,2241.17,2278.74,2237.48,2278.65,75.89,3.45%,223290,298608
10/11/2011,2272.64,2300.7,2269.54,2294.92,16.27,0.71%,243182,299005
10/12/2011,2316.76,2331.91,2305.31,2307.18,12.26,0.53%,304896,303965
10/13/2011,2300.86,2330.64,2299.73,2326.88,19.7,0.85%,315843,306635
10/14/2011,2360,2371.94,2344.74,2371.94,45.06,1.94%,274447,306276
10/17/2011,2359.53,2367.21,2322.53,2334.38,-37.56,-1.58%,314921,306459
10/18/2011,2331.98,2375.26,2309.88,2364.87,30.49,1.31%,381929,324594
10/19/2011,2348.52,2357.51,2310.65,2316.81,-48.06,-2.03%,332895,327881
10/20/2011,2317.34,2317.34,2274.49,2306.29,-10.52,-0.45%,351219,325691
10/21/2011,2332.27,2349.79,2314.77,2335.93,29.64,1.29%,259784,320432
10/24/2011,2341.71,2389.91,2341.15,2384.42,48.49,2.08%,241805,338778
10/25/2011,2375.49,2375.53,2332.18,2335.87,-48.55,-2.04%,325050,337429
10/26/2011,2349.85,2355.02,2291.78,2334.79,-1.08,-0.05%,322409,343464
10/27/2011,2390.69,2412.52,2365.91,2399.83,65.04,2.79%,329695,352213
10/28/2011,2386.02,2404.8,2384.97,2401.29,1.46,0.06%,213800,344860
10/31/2011,2376.99,2389.19,2359.85,2360.08,-41.21,-1.72%,243902,346251
11/1/2011,2301.11,2321.23,2287.74,2298.37,-61.71,-2.61%,445678,339730
11/2/2011,2321.9,2329.06,2298.71,2318.32,19.95,0.87%,285484,328239
11/3/2011,2340.14,2369.77,2311.2,2367.71,49.39,2.13%,322464,334325
11/4/2011,2353.51,2364.37,2331.46,2356.32,-11.39,-0.48%,235059,335715
